location_id,is_verified,is_hidden,is_location_screening_patients,is_location_collecting_specimens,location_name,location_address_street,location_address_locality,location_address_region,location_address_postal_code,lat,lng,location_place_of_service_type,location_contact_phone_main,location_contact_url_main,location_hours_of_operation,is_location_accepting_third_party_orders_for_testing,is_location_only_testing_patients_that_meet_criteria,is_location_by_appointment_only,location_contact_phone_appointments,location_contact_url_appointments,location_specific_testing_criteria,additional_information_for_patients,data_source,is_ready_for_prod,location_address_district,geometry
212834b1-d385-4ce6-8d60-0190403d7f47,f,t,t,f,Saint Louis County Department of Health,111 South Meramec Avenue,Clayton,MO,,38.648834,-90.33985,Public Health Department,314-615-0600,http://www.stlouisco.com/doh/index.cfm,,f,t,f,,,,,dph website,,,POINT (-90.33985 38.648834)
d0aba88a-5d7d-4706-98ef-d1fb76333533,f,f,t,f,Royalton Health Officer,58 Safford Street,South Royalton,Vermont,,43.81861,-72.5195,Public Health Department,802-763-7776,http://healthvermont.gov/local/district/springfield.aspx,,,,,,,,,provider website,,,POINT (-72.5195 43.81861)
afa32be0-ff57-48f5-babe-16600a42d3a2,t,f,t,f,Georgia State Health Department,1641 South Broad Street,Cairo,GA,,30.855818,-84.209854,Public Health Department,229-377-7082,https://dph.georgia.gov/,,t,t,f,,,,,provider website,,,POINT (-84.209854 30.855818)
c15f786c-5b4a-4bcd-8a0a-7707ea47c3d7,f,f,t,f,Girard Health Department,"Ste 5, 100 W Main St",Girard,Ohio,,41.15516029999999,-80.7032445,Public Health Department,330-545-6048,,,,,,,,,,provider website,,,POINT (-80.7032445 41.1551603)
f0f7d7ec-dbfb-42c1-8699-2d77995b6e25,f,t,f,f,Newbury Board of Health,25 High Road,Newbury,MA,,42.79788,-70.86169,Public Health Department,978-465-0862,http://www.townofnewbury.org/pages/newburyma_health/index,,,t,t,211,,https://www.mass.gov/doc/covid-19-pui-criteria/download,"BEGINNING Saturday, March 14, 2020, residents can call 2-1-1 to learn more about COVID-19 prevention, symptoms, treatment. Information about testing, and guidance for people planning or returning from travel. This service is available 24/7 in multiple languages.",provider website,,,POINT (-70.86169 42.79788)
4fb621f8-0f0e-43f0-b575-434eebaa9175,f,f,f,f,Roanoke County/Salem Health Department,105 East Calhoun Street,Salem,Virginia,,37.292194,-80.056366,Public Health Department,540-387-5530,http://www.vdh.state.va.us/lhd/alleghany/salem/,,f,t,f,,,,,provider website,,,POINT (-80.056366 37.292194)
9798ad27-9095-4a49-87cd-1c20d6e78431,f,f,t,f,West Allis Health Department,7120 West National Avenue,West Allis,Wisconsin,,43.012764000000004,-88.0017,Public Health Department,414-302-8600,http://www.ci.west-allis.wi.us/health/health_services.htm,,,,,,,,,provider website,,,POINT (-88.0017 43.012764)
d97924a6-7d8c-4aab-bf1c-45f902ec18b3,f,f,f,f,St Louis County Health Department,"Ste 300, 325 W 1st St",Duluth,Minnesota,,46.79074,-92.09519,Public Health Department,218-725-5210,,,f,t,f,,,,,provider website,,,POINT (-92.09519 46.79074)
dd2f8052-0dba-4650-822c-de88c41b8c5c,t,f,f,f,Grayson County Health Department,515 North Walnut Street,Sherman,TX,,33.641056,-96.60943,Public Health Department,903-893-0131,http://www.co.grayson.tx.us/health%20department/hlthdptmain.htm,"7:00 a.m. – 8:00 p.m., 7 days per week",t,t,f,,,,People can get tested for COVID‑19 at drive‑thru locations in certain parts of Texas. Locations may use different screening criteria to determine if you are able get tested. Please contact the drive‑thru provider to see what their testing criteria is. We will update the drive‑thru testing list as information becomes available,dph website,,,POINT (-96.60943 33.641056)
26372081-fafc-4da3-8d1f-24b404132501,f,f,t,t,Southeastern Utah District Health Department- San Juan County - Blanding Office,193 East Center Street,Blanding,Utah,,37.62545,-109.475624,Hospital,435-678-2723,http://www.southeastuthealth.org/sanjuan.html,,f,t,t,,https://healthcare.utah.edu/virtual-care/virtual-visits/,https://healthcare.utah.edu/coronavirus/#whoshouldgettested,"If you are experiencing COVID-19 (coronavirus) related symptoms, please call 801-587-0712 before coming into the hospital, clinic, or health center.",provider website,,,POINT (-109.475624 37.62545)
12ab0a29-16f7-4b9e-8863-a5a99052a7fa,f,f,f,f,Sioux Falls Health Department,300 S Phillips Ave,Sioux Falls,South Dakota,,43.5443644,-96.72640320000001,Public Health Department,605-367-5363,,,f,t,f,,,,,provider website,,,POINT (-96.7264032 43.5443644)
2e99fcea-080e-4065-8461-7d7e3c104cf3,f,f,t,f,Wilton Health Department,238 Danbury Road,Wilton,Connecticut,,41.188183,-73.42518000000001,Public Health Department,203-563-0174,http://www.wiltonct.org/departments/health.html,,,,,,,,,provider website,,,POINT (-73.42518 41.188183)
cd183645-9d57-46bf-964e-2ee900a11c55,f,f,t,f,Mississippi State Government Public Health District 8 Southeast,602 Adeline Street,Hattiesburg,Mississippi,,31.3242151,-89.29757740000001,Public Health Department,601-544-6766,"http://msdh.ms.gov/msdhsite/_static/19,866,166.html",,,,,,,,,provider website,,,POINT (-89.2975774 31.3242151)
b08514a6-a473-413a-927f-d9fbddf59362,t,f,t,t,AdventHealth Centra Care Poinciana,3759 Pleasant Hill Road,Kissimmee,FL,34746.0,28.1842261,-81.4386069,Urgent Care,863-419-2723,https://centracare.adventhealth.com/urgent-care/poinciana,Sunday: 8 am to 5 pm;Monday: 8 am to 8 pm;Tuesday: 8 am to 8 pm;Wednesday: 8 am to 8 pm;Thursday: 8 am to 8 pm;Friday: 8 am to 8 pm;Saturday: 8 am to 5 pm,t,t,t,863-419-2723,https://www.adventhealth.com/hospital/adventhealth-heart-florida/schedule-urgent-care?location=3759%2BPleasant%2BHill%2BRoad%252C%2BKissimmee%252C%2BFL%252C%2B34746,,Formerly known as Urgent Care Poinciana,provider website,,,POINT (-81.4386069 28.1842261)
2ed39fcd-8e84-4f0a-a446-293892558f14,f,f,t,f,Potter County State Health Center,46 Elk Street,Coudersport,Pennsylvania,,41.765390000000004,-78.04120999999999,Public Health Department,814-274-3626,http://webserver.health.state.pa.us/health/comm/comm.asp?county=all,,,,,,,,,provider website,,,POINT (-78.04121 41.76539)
97f4bfd8-fe50-4f43-8306-14384f97b82c,f,f,t,f,Sonoma County Health Department,3313 Chanate Road,Santa Rosa,California,,38.468266,-122.7092,Public Health Department,707-565-4711,,,,,,,,,,provider website,,,POINT (-122.7092 38.468266)
c984f350-9c2e-44ae-9bc8-6af3611ec5c3,f,f,t,f,Health Officer - Maidstone,508 Vermont 102,Maidstone,Vermont,,44.57752979999999,-71.5546478,Public Health Department,802-676-3210,,,,,,,,,,provider website,,,POINT (-71.5546478 44.5775298)
1a4e19bc-856d-4b78-b61c-f9fb49be2b7e,f,f,t,f,Louisiana Health Department,5593 Louisiana 311,Houma,Louisiana,,29.5897022,-90.7390405,Public Health Department,985-857-3615,,,,,,,,,,provider website,,,POINT (-90.7390405 29.5897022)
93dfc0b8-571d-4144-a17a-2e539fd22bcc,f,f,t,f,Springfield Health Officer,77 Hartness Avenue,Springfield,Vermont,,43.292792999999996,-72.47255,Public Health Department,802-885-9200,http://healthvermont.gov/local/district/springfield.aspx,,,,,,,,,provider website,,,POINT (-72.47255 43.292793)
a8d53796-7d36-4fbe-b001-9812efe29ccb,f,f,t,f,Hubbardton Health Officer,1831 Monument Hill Road,Castleton,Vermont,,43.716865999999996,-73.159065,Public Health Department,802-273-2951,,,,,,,,,,provider website,,,POINT (-73.159065 43.716866)
e8ccf94a-4ac1-405d-a6fd-4a0d99c62038,t,f,t,f,Yale New Haven Children's Hospital - Bridgeport Campus,267 Grant Street,Bridgeport,CT,6611.0,41.188987299999994,-73.1664362,Hospital,203-384-3000,https://www.ynhhs.org/locations/bridgeport-267-grant-street-childrens.aspx,Call ahead,t,t,t,833-275-9644,https://www.ynhhs.org/ondemand.aspx,https://www.ynhhs.org/patient-care/covid-19/covid-19-testing.aspx,"Reach out to your doctor or healthcare facility if you have an upcoming appointment for latest information on hours of operation and visitor restrictions. Many offices are now offering telemedicine services during this time. We want to make sure you receive the care you need, when you need it. If you think you have COVID-19 symptoms, call your doctor or healthcare facility before visiting",provider website,,,POINT (-73.1664362 41.1889873)
50b2ece2-8918-4131-88bd-6d0779e0f392,f,f,t,f,Levy County Health Department,West Main Street,Bronson,Florida,,29.4420322,-82.646738,Public Health Department,352-486-5300,http://www.doh.state.fl.us/chdlevy/,,,,,,,,,provider website,,,POINT (-82.646738 29.4420322)
675bc9b8-db0a-47d7-a924-356ac8211f63,f,f,f,f,Barnwell County Health Department,11015 Ellenton Street,Barnwell,South Carolina,,33.254888300000005,-81.3783707,Public Health Department,803-551-1061,http://www.scdhec.gov/health/region5/barnwell.htm,,f,t,f,,,,,provider website,,,POINT (-81.3783707 33.2548883)
3ae4abcd-f38d-4f8b-a51d-3672830991d1,f,f,t,f,Lebanon Health Department,1600 South Main Street,Lebanon,Oregon,,44.53181,-122.90711999999999,Public Health Department,541-451-5932,,,,,,,,,,provider website,,,POINT (-122.90712 44.53181)
f1c2ef9c-8a53-4c84-aff1-8fd1288e2c7d,f,f,f,f,Florida State Health Department,14 North Eustis Street,Eustis,Florida,,28.852884000000003,-81.68462,Public Health Department,352-357-1668,,,f,t,f,,,,,provider website,,,POINT (-81.68462 28.852884)
af3b31fc-c52a-44b3-bdb9-5c9c5625f3a0,f,f,f,f,New York State Health Department,161 Delaware Avenue,Delmar,NY,,42.6295987,-73.8114981,Public Health Department,518-478-1000,https://www.health.ny.gov/,,f,t,f,,,,Please note review the latest information here: https://coronavirus.health.ny.gov/home,provider website,,,POINT (-73.8114981 42.6295987)
9e72eb58-3fba-4ef6-8a4a-bce79f64e9d6,t,t,t,t,Atlantic City Health Department,1301 Bacharach Boulevard,Atlantic,NJ,,39.36316,-74.42723000000001,Urgent Care,609-347-6463,http://www.cityofatlanticcity.org/con_gov_healthhuman_geninfo.asp,Open Daily: 8:00 AM - 8:00 PM,f,t,t,,https://www.clockwisemd.com/hospitals/542/appointments/new,,https://www.wdhospital.org/wdh/about-wdh/coronavirus-covid-19-updates,provider website,,,POINT (-74.42723 39.36316)
09f8c018-f464-4953-a896-bb41093d046c,f,f,t,f,Sarpy/Cass Department of Health and Wellness,701 Olson Drive,Papillion,Nebraska,,41.13962,-96.0387,Public Health Department,402-339-4334,http://www.sarpy.com/health,,,,,,,,,provider website,,,POINT (-96.0387 41.13962)
53e5f933-39a6-4190-9c1a-39e2b63389a2,f,f,t,f,Humboldt County Health Department,77 Walnut Way,Willow Creek,California,,40.939816,-123.62725,Public Health Department,530-629-2410,,,,,,,,,,provider website,,,POINT (-123.62725 40.939816)
434cc8af-284d-47c9-810c-f85d0ec5ba6c,f,f,t,f,Crawford County Health Department,105 West Pointer Trail,Van Buren,Arkansas,,35.459225,-94.36359,Public Health Department,479-474-6391,,,,,,,,,,provider website,,,POINT (-94.36359 35.459225)
d8800e0c-0a82-4238-b9c0-1fd9ae29c61f,t,f,t,t,General Internal Medicine Center at UW Medical Center-Roosevelt,"4245 Roosevelt Way NE, 3rd Floor",Seattle,WA,98105.0,47.65868,-122.31778,Clinic,206-598-8750,https://www.uwmedicine.org/locations/general-internal-medicine-center-uwmc-roosevelt,,t,t,t,,https://www.uwmedicine.org/services/virtual-clinic,https://www.uwmedicine.org/coronavirus,"If you have symptoms like cough, fever or other respiratory problems, contact your doctor by phone or eCare before coming to a clinic or hospital. You may also contact the UW Medicine Virtual Clinic or schedule a telehealth visit through eCare.",provider website,,,POINT (-122.31778 47.65868)
46ec8df2-720d-4061-a183-c6712c604a07,f,f,t,f,Pomfret Health Officer,"5218 Pomfret Road, Town Hall",North Pomfret,Vermont,,43.705321999999995,-72.51528,Public Health Department,802-457-3861,,,,,,,,,,provider website,,,POINT (-72.51528 43.705322)
790fb80e-b45e-4f0f-90a2-55c1d758412f,f,f,t,f,Eastern Idaho Health Department,820 Valley Centre Drive,Driggs,Idaho,,43.745514,-111.11379,Public Health Department,208-354-2220,,,,,,,,,,provider website,,,POINT (-111.11379 43.745514)
e2a9cd65-54f2-4ae8-9877-5a75e78a7148,f,f,t,f,Pine Bluff Health Department,2306 Rike Avenue,Pine Bluff,Arkansas,,34.209003,-92.026146,Public Health Department,870-535-2142,,,,,,,,,,provider website,,,POINT (-92.026146 34.209003)
e971c299-247b-45c3-82d2-fc693321bd72,f,f,t,f,Russell County Health Department,211 Fruit of the Loom Drive,Jamestown,Kentucky,,37.010082000000004,-85.076515,Public Health Department,270-343-2181,,,,,,,,,,provider website,,,POINT (-85.076515 37.010082)
1f60c94c-bce5-4dab-80f2-c92b654ec694,f,f,t,f,Lea County Public Health Office - Hobbs,1923 North Dal Paso Street,Hobbs,New Mexico,,32.7213323,-103.1281742,Public Health Department,575-397-2463,,,,,,,,,,provider website,,,POINT (-103.1281742 32.7213323)
a11933ac-f240-4529-8b54-b8a3d6e89860,t,t,f,f,Carroll County Health Department,822 South Mill Road,Mount Carroll,IL,,42.089874,-89.98657,Public Health Department,815-244-8855,http://www.ccphd.org/,,f,t,f,,,http://www.dph.illinois.gov/topics-services/diseases-and-conditions/diseases-a-z-list/coronavirus/health-care-providers/PUI-decision-matrix,"2019-nCoV Disclaimer: The contact information in this directory is for the ‘primary contact’ at each local health department and may not be the best point of contact for Novel Coronavirus (2019-nCoV) response activities. While you can still use this information, note that you will likely need to be redirected to a more appropriate contact person at the agency",entity website,,,POINT (-89.98657 42.089874)
e3eb6b1d-c625-4767-8dfe-198b5f23094f,f,t,t,f,Butler County Health Department,131 Jones Street,Georgiana,AL,,31.6359881,-86.7441634,Public Health Department,334-376-0776,,,,,,,,,,provider website,,,POINT (-86.7441634 31.6359881)
6ce5bb83-e03e-4728-a226-dfa2abec0164,t,f,t,t,SSM Health Urgent Care,1296 Jeffco Blvd.,Arnold,MO,63010.0,38.43606488,-90.37478597,Clinic,636-321-8610,https://www.ssmhealth.com/locations/location-details/urgent-care-arnold,By appointment,f,t,t,,,Determined by PCP,,https://krocnews.com/covid-19-mayo-opens-second-coronavirus-testing-site/,,,POINT (-90.37478597 38.43606488)
9f69e2fe-032c-435d-a8a8-501804e838d0,f,t,t,f,St Clair County Health Department,31675 U.s. 411,Ashville,AL,,33.8389055,-86.249151,Public Health Department,205-594-7944,,,,,,,,,,provider website,,,POINT (-86.249151 33.8389055)
934cabba-cb6f-495f-879a-d56a00390549,f,f,t,f,West Rutland Health Officer,35 Marble Street,West Rutland,Vermont,,43.594975,-73.04812,Public Health Department,802-438-2263,,,,,,,,,,provider website,,,POINT (-73.04812 43.594975)
06633e77-2b77-4852-8d03-60c6e59e0a06,t,f,f,t,Pali Momi Medical Center,98-1079 Moanalua Rd,Aiea,HI,96701.0,21.39682685,-157.8977272,Medical Center,877-709-9355,https://www.hawaiipacifichealth.org/,Daily 8am - 5pm,f,t,f,,,https://www.hawaiipacifichealth.org/hph-covid-19-updates/covid-19-testing/,"Patients will need a doctor’s order for the test, along with a valid form of identification and an insurance card. A normal co-payment may apply since testing is handled by a private lab. Patients should check with their insurance provider for more information on any costs associated with the test. The lab will handle billing directly with patients, including those who do not have insurance.",https://www.hawaiipacifichealth.org/coronavirus,,,POINT (-157.8977272 21.39682685)
a273f488-5b13-4bf2-b6df-32f5a9fe212a,f,t,t,f,Cedar County Health Department,1401 South Park Street,El Dorado Springs,MO,,37.860363,-94.01850999999999,Public Health Department,417-876-2511,http://www.cedarcountyhospital.org/cc_medical_mall_health.php,,f,t,f,,,,,dph website,,,POINT (-94.01851 37.860363)
7aefc1d0-991a-4fff-8196-e9fd63ca93e8,f,f,t,f,Ashtabula County Health Department,12 West Jefferson Street,Jefferson,Ohio,,41.738323,-80.77035500000001,Public Health Department,440-576-6010,http://www.ashtabulacountyhealth.com/,,,,,,,,,provider website,,,POINT (-80.770355 41.738323)
6e60f610-e6f8-4939-be6d-f3fb3f7ea0b7,t,f,f,t,Wilcox Medical Center,3-3420 Kuhio Hwy,Lihue,HI,96766.0,21.98208096,-159.3672647,Medical Center,877-709-9355,https://www.hawaiipacifichealth.org/,Daily 8am - 5pm,f,t,f,,,https://www.hawaiipacifichealth.org/hph-covid-19-updates/covid-19-testing/,"Patients will need a doctor’s order for the test, along with a valid form of identification and an insurance card. A normal co-payment may apply since testing is handled by a private lab. Patients should check with their insurance provider for more information on any costs associated with the test. The lab will handle billing directly with patients, including those who do not have insurance.",https://www.hawaiipacifichealth.org/coronavirus,,,POINT (-159.3672647 21.98208096)
5403cc0b-efe5-4703-859b-64f4c0bcaf2d,f,f,t,f,Central Montana Health Department,712 West Main Street,Lewistown,Montana,,47.062458,-109.43042,Public Health Department,406-535-3983,http://cmhd-fcno.org/site/,,,,,,,,,provider website,,,POINT (-109.43042 47.062458)
1ce5b163-15f2-4760-81f7-f697492e95f2,t,f,t,f,St. Agnes Hospital,430 E. Division St.,Fond du Lac,WI,54935.0,43.7785905,-88.430633,Public Health Department,920-929-2300,https://www.ssmhealth.com/locations/st-agnes-hospital,,,,,,,,,provider website,,,POINT (-88.430633 43.7785905)
8a4ffdab-c163-469a-9540-1d482d86b4e9,f,f,t,f,Sanpete County Health Department,160 North Main Street,Manti,Utah,,39.267746,-111.63696000000002,Public Health Department,435-835-2117,,,,,,,,,,provider website,,,POINT (-111.63696 39.267746)
a8c1598f-4808-4e7d-b273-5c102ebf85db,f,f,t,f,Pennsylvania Health Department,329 Church Street,Danville,Pennsylvania,,40.961147,-76.61426,Public Health Department,570-275-7092,,,,,,,,,,provider website,,,POINT (-76.61426 40.961147)
9b919e37-d6e4-451d-8a20-879de5b2851d,f,f,t,f,Pondera County Health Department,300 North Virginia Street,Conrad,Montana,,48.178745,-111.94294,Public Health Department,406-278-5142,,,,,,,,,,provider website,,,POINT (-111.94294 48.178745)
54a6cf5a-43ba-4724-a12d-f9954eca0af0,f,f,t,f,Wake County Health Department,10 Sunnybrook Road,Raleigh,North Carolina,,35.786896,-78.58651,Public Health Department,919-250-4720,,,,,,,,,,provider website,,,POINT (-78.58651 35.786896)
72ded10c-8cdd-4315-bc34-0c2980da4ba1,f,f,t,f,Sweet Grass Community Health Department,115 West 5th Avenue,Big Timber,Montana,,45.83186,-109.95129399999999,Public Health Department,406-932-5449,http://www.co.sweetgrass.mt.us/health_department.htm,,,,,,,,,provider website,,,POINT (-109.951294 45.83186)
51e6e916-ef15-4b4b-9eb0-61a51b87bcc9,t,f,t,f,AHN West Side Health + Wellness Pavilion,4247 West Ridge Road,Erie,PA,16506.0,42.07747636,-80.16966509,Public Health Department,814-838-2468,https://www.ahn.org/coronavirus/where-to-go-for-help/testing,,,,,412-687-7348,,,,provider website,,,POINT (-80.16966509 42.07747636)
1406cf7f-4162-4a46-851f-0ac6f8f186b8,f,f,t,f,New Orleans Health Department,517 North Rampart Street,New Orleans,Louisiana,,29.959114000000003,-90.06976999999999,Public Health Department,504-658-2540,,,,,,,,,,provider website,,,POINT (-90.06977 29.959114)
c777f2f4-39e7-4b5a-a712-3b4ce0de9900,f,f,t,f,Jackson County Department of Public Health,538 Scotts Creek Road,Sylva,North Carolina,,35.389072,-83.205025,Public Health Department,828-586-8994,http://health.jacksonnc.org/,,,,,,,,,provider website,,,POINT (-83.205025 35.389072)
5f64feba-100a-41c5-bac7-5266920ab4e0,t,f,t,f,Primary Care Center – New Haven - York Street Campus,789 Howard Avenue,New Haven,CT,6519.0,41.3020726,-72.93521120000001,Primary Care,833-275-9644,,Call ahead,f,t,t,833-275-9644,https://www.ynhhs.org/ondemand.aspx,https://www.ynhhs.org/patient-care/covid-19/covid-19-testing.aspx,"Reach out to your doctor or healthcare facility if you have an upcoming appointment for latest information on hours of operation and visitor restrictions. Many offices are now offering telemedicine services during this time. We want to make sure you receive the care you need, when you need it. If you think you have COVID-19 symptoms, call your doctor or healthcare facility before visiting",provider website,,,POINT (-72.9352112 41.3020726)
5deedad9-65ef-4bce-ac5b-b52ea2d1f45d,f,f,t,f,South Carolina State Health Department,1309 College Street,Newberry,South Carolina,,34.27626,-81.61973,Public Health Department,864-321-2115,,,,,,,,,,provider website,,,POINT (-81.61973 34.27626)
09ee5135-f713-408b-8874-3201b8a65056,f,f,t,f,Utah State Health Department,736 South 900 East,St. George,Utah,,37.094947999999995,-113.56431599999999,Public Health Department,435-251-2870,,,,,,,,,,provider website,,,POINT (-113.564316 37.094948)
339ddbc4-34f0-49bd-9032-d737dfc4a016,f,t,f,f,New York City Department of Health and Mental Hygiene,125 Worth Street,New York,NY,,40.7157524,-74.002517,Public Health Department,212-788-4753,https://www1.nyc.gov/site/doh/index.page,,f,t,f,,,,Please note review the latest information here: https://coronavirus.health.ny.gov/home,provider website,,,POINT (-74.002517 40.7157524)
8ee9227e-5fe9-4d5e-a7cf-62e63e11c881,f,f,t,f,Town of Washington Depot Health Office,2 Bryan Hall Plaza,Washington,Connecticut,,41.6410724,-73.3207298,Public Health Department,860-868-0423,http://www.washingtonct.org/health.html,,,,,,,,,provider website,,,POINT (-73.3207298 41.6410724)
91141e83-76a6-4a31-a0ea-fda648262002,t,f,t,t,El Camino Health Urgent Care - San Jose,4150 N 1st St,San Jose,CA,95134.0,37.41552,-121.9546,Urgent Care,669-200-4558,https://carbonhealth.com/san-jose,,f,t,t,669-200-4558,https://patient.carbonhealth.com/?lng=en#/schedule?practiceId=5bdaef44-8ff0-439f-99d7-3285afcc6911&virtual=true&instant=true&&apptReasonId=a516b4f7-339d-47bc-910d-3b89b81e2e9a,,Please use the COVID-19 check my symptoms tool.,provider website,,,POINT (-121.9546 37.41552)
25cc7dea-ae19-444f-8eaa-ba6c26528cbe,t,f,t,t,Chesapeake ERgent Care,1071 MD-3,Gambrills,MD,21054.0,39.0257446,-76.6890143,Urgent Care,,,,f,t,t,,,"CDC criteria, negative for other viruses",,https://www.capitalgazette.com/coronavirus/ac-cn-anne-arundel-county-coronavirus-drive-thru-location-20200320-v2s6h2e36rb4ri5pjzug4etese-story.html,,,POINT (-76.6890143 39.0257446)
3db71092-b43c-4774-8eb9-83873087a218,f,f,f,f,Florida State Health Department,1700 Baker Avenue,Haines,Florida,,28.121512699999997,-81.61609320000001,Public Health Department,863-419-3252,,,f,t,f,,,,,provider website,,,POINT (-81.6160932 28.1215127)
9cc551df-bc2a-4714-a9f6-1f18d2454842,f,f,t,f,Charlotte Health Officer,159 Ferry Road,Charlotte,Vermont,,44.310963,-73.25022,Public Health Department,802-425-3071,,,,,,,,,,provider website,,,POINT (-73.25022 44.310963)
cee79a2b-70c2-4ee7-bfcd-e8d48d68fdf4,f,f,t,f,District Health Department 2,630 Progress Street,West Branch,Michigan,,44.26769,-84.24251,Public Health Department,989-345-5020,http://www.dhd2.org/,,,,,,,,,provider website,,,POINT (-84.24251 44.26769)
d877dccf-9bd6-4af0-9678-c5f03eee62f9,f,f,t,f,Pasco County Health Department,10841 Little Road,New Port Richey,Florida,,28.313959999999998,-82.66603,Public Health Department,727-861-5250,http://www.doh.state.fl.us/chdpasco/di_web/dihome.htm,,,,,,,,,provider website,,,POINT (-82.66603 28.31396)
764690c1-5d0e-4c2c-bfd4-1c70ac7d9653,f,f,t,f,Clinton Health Department,408 Cynthia Street,Clinton,Mississippi,,32.34935,-90.32382,Public Health Department,601-924-6012,,,,,,,,,,provider website,,,POINT (-90.32382 32.34935)
bb47a947-887e-4b2e-a04e-8b48a43c7e4d,t,f,t,f,RC Hospital & Clinics,100 Healthy Way,Olivia,MN,56277.0,44.7744015,-94.97260949999999,Public Health Department,,https://rchospital.com/coronavirus/,,,,,800-916-1836,,,,provider website,,,POINT (-94.9726095 44.7744015)
557d0b41-efc4-4ab7-b1bb-2e6f860b6d63,t,f,t,t,NorthBay HealthCare - Vacaville,"1679 E Monte Vista Ave, Suite 104",Vacaville,CA,95688.0,38.364864000000004,-121.96489,Urgent Care,707-624-7400,https://carbonhealth.com/vacaville,,f,t,t,707-624-7400,https://patient.carbonhealth.com/?lng=en#/schedule?practiceId=5bdaef44-8ff0-439f-99d7-3285afcc6911&virtual=true&instant=true&&apptReasonId=a516b4f7-339d-47bc-910d-3b89b81e2e9a,,Please use the COVID-19 check my symptoms tool.,provider website,,,POINT (-121.96489 38.364864)
acf0712c-02c2-4bd0-b7fc-9c1f39433e59,t,t,f,f,Cherokee County Health Department Canton Office,1219 Univeter Road,Canton,GA,,34.193295,-84.49391,Public Health Department,770-345-7371,http://www.nghd.org/cherokeehealth/,,f,t,f,,,,,provider website,,,POINT (-84.49391 34.193295)
